sample_id,size,gc,md5,organism,taxid,rep_type(s),rep_type_accession(s),relaxase_type(s),relaxase_type_accession(s),mpf_type,mpf_type_accession(s),orit_type(s),orit_accession(s),predicted_mobility,primary_cluster_id,primary_dist,secondary_cluster_id,secondary_dist
CP045282,27029,53.06152651,c45d9a350ef22d59527c35a508b87424,Escherichia coli,562,"IncFIA,IncFIC","MK878891_00042,AY458016",-,-,,,,,,AA001,0.06,AH523,0.025
LN864820,49151,51.42519989,e529db462b6316e9718ad72776793fe9,Citrobacter freundii,546,IncL/M,JN626286,-,-,,,,,,AA001,0.06,AH522,0.025
CP018443,50611,51.5144929,38ce5419c722f1add02f11c6d1026454,Klebsiella pneumoniae,573,IncL/M,JN626286,-,-,,,,,,AA001,0.06,AH522,0.025
CP018694,50609,51.51455275,98b018d56f1c651beb2a0c15e5d76ba8,Klebsiella pneumoniae,573,IncL/M,JN626286,-,-,,,,,,AA001,0.06,AH522,0.025
CP028818,46885,51.53673883,40eb4b5c86a0acdc4e2f95def63fe4a3,Klebsiella pneumoniae,573,IncL/M,JN626286,-,-,,,,,,AA001,0.06,AH522,0.025
KX524525,49257,51.59875754,00b5b3af45d105ccd48805e6727d3f45,Klebsiella pneumoniae,573,IncL/M,JN626286,-,-,,,,,,AA001,0.06,AH522,0.025
KY200950,31191,53.40001924,b9de3539a2eae67e7d0e05b7628d41e1,Klebsiella pneumoniae subsp. pneumoniae,72407,IncL/M,JN626286,-,-,,,,,,AA001,0.06,AH522,0.025
JQ837276,66531,52.26135185,68fc87c38b09a4c25a3d24c31909f642,Enterobacter cloacae,550,"IncL/M,rep_cluster_2335","U27345,KU302809_00001",MOBP,NC_004464_00056,,,,,,AA002,0.06,AH528,0.025
NC_019346,66531,52.26135185,68fc87c38b09a4c25a3d24c31909f642,Enterobacter cloacae,550,"IncL/M,rep_cluster_2335","U27345,KU302809_00001",MOBP,NC_004464_00056,,,,,,AA002,0.06,AH528,0.025
CP034202,72057,50.61826054,2d8aa1faafbe551271a41fee78ed89b4,Klebsiella pneumoniae subsp. pneumoniae,72407,-,-,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH529,0.025
CP034325,156910,52.38289465,ced5b91bb8344f6f06a315a265a643b9,Klebsiella pneumoniae,573,"IncFII,IncL/M,IncQ1,rep_cluster_1418,rep_cluster_2183","000129__CP018340,U27345,000195__NC_013728_00014,000759__NC_013950_00034,CP033468_00001",MOBP,NC_004464_00056,,,,,,AA002,0.06,AH524,0.025
KM877517,133208,53.51630533,e89d7e5e9f7b00ae5e76147311dc6dde,Enterobacter cloacae,550,"IncL/M,IncN,IncN,IncR","AF550415,000155__CP018649,000153__NC_019087_00001,000204__CP008701_00115",MOBP,NC_004464_00056,,,,,,AA002,0.06,AH533,0.025
AF550415,89468,51.03053606,39252c6bd184df2ce10f65ed33b04e40,Citrobacter freundii,546,"IncL/M,rep_cluster_1254","AF550415,000562__KT346360_00001",MOBP,NC_004464_00056,,,,,,AA002,0.06,AH532,0.025
NC_004464,89468,51.03053606,39252c6bd184df2ce10f65ed33b04e40,Citrobacter freundii,546,"IncL/M,rep_cluster_1254","AF550415,000562__KT346360_00001",MOBP,NC_004464_00056,,,,,,AA002,0.06,AH532,0.025
CP031235,85456,50.97243026,e1e53b047d43f4f121c479cc0a01efff,Escherichia coli,562,"IncL/M,rep_cluster_1254","AF550415,000562__KT346360_00001",MOBP,NC_004464_00056,,,,,,AA002,0.06,AH532,0.025
HQ451074,88803,51.52078196,6fe5a88b6fd9ce6421588d35e7a87355,Escherichia coli,562,"IncL/M,rep_cluster_1254","AF550415,000562__KT346360_00001",MOBP,NC_004464_00056,,,,,,AA002,0.06,AH537,0.025
KX009507,89090,50.71612976,e8b5efe34f3fc7fbeb6665afc69b5d1d,Escherichia coli,562,"IncL/M,rep_cluster_1254","AF550415,000562__KT346360_00001",MOBP,NC_004464_00056,,,,,,AA002,0.06,AH532,0.025
LT985241,90291,51.04716971,baf7e837c23688a788b03f500cc77c02,Escherichia coli,562,"IncL/M,rep_cluster_1254","AF550415,000562__KT346360_00001",MOBP,NC_004464_00056,,,,,,AA002,0.06,AH532,0.025
LT985387,90270,51.05572172,4f55b076237fcfb3afa4e5ff24e5e399,Escherichia coli,562,"IncL/M,rep_cluster_1254","AF550415,000562__KT346360_00001",MOBP,NC_004464_00056,,,,,,AA002,0.06,AH532,0.025
NC_019063,88803,51.52078196,6fe5a88b6fd9ce6421588d35e7a87355,Escherichia coli,562,"IncL/M,rep_cluster_1254","AF550415,000562__KT346360_00001",MOBP,NC_004464_00056,,,,,,AA002,0.06,AH537,0.025
CP026156,77359,51.27005261,611bb10c6edef90990154abe5a798528,Klebsiella pneumoniae,573,"IncL/M,rep_cluster_1254","AF550415,000562__KT346360_00001",MOBP,NC_004464_00056,,,,,,AA002,0.06,AH532,0.025
JX988621,87185,51.52147732,ef1015ad689fb27d67c683aa93493804,Klebsiella pneumoniae,573,"IncL/M,rep_cluster_1254","AF550415,000562__KT346360_00001",MOBP,NC_004464_00056,,,,,,AA002,0.06,AH537,0.025
NC_019889,87185,51.52147732,ef1015ad689fb27d67c683aa93493804,Klebsiella pneumoniae,573,"IncL/M,rep_cluster_1254","AF550415,000562__KT346360_00001",MOBP,NC_004464_00056,,,,,,AA002,0.06,AH537,0.025
CP032193,87450,51.52201258,dd695ba24b72ef1a8cc3ea1e6e115ef9,Salmonella enterica subsp. enterica serovar Senftenberg,28150,"IncL/M,rep_cluster_1254","AF550415,000562__KT346360_00001",MOBP,NC_004464_00056,,,,,,AA002,0.06,AH537,0.025
CP011609,70610,52.31128735,338735cf5212c9747652c17084a8adfc,Citrobacter freundii,546,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH528,0.025
CP022153,63458,51.17873239,5bc945cd9c52a1cdc3897a4e1eaa9f21,Citrobacter freundii,546,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
CP037737,85575,53.2597137,b7e6ca0f1f4cc36fbd3e87454a425e67,Citrobacter freundii,546,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH527,0.025
CP042526,87731,52.788638,ccd48c087185642ad88f483f6f9ff833,Citrobacter freundii,546,IncL/M,AF550415,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH532,0.025
CP042537,87731,52.78977784,9507dc417d6148f768f9e920db13608c,Citrobacter freundii,546,IncL/M,AF550415,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH532,0.025
KP975075,72892,52.16347473,c0f3702fd2a748eee8469c84bdf15aec,Citrobacter freundii,546,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH528,0.025
CP011656,129196,51.57590018,e97a151ce5b49bfbdacb2a86c1344919,Citrobacter freundii,546,"IncL/M,rep_cluster_1367","U27345,000687__KX348146_00033","MOBC,MOBP","CP008826_00025,NC_004464_00056",,,,,,AA002,0.06,AH527,0.025
CP026210,77585,52.10156602,0e1dcdf922c4a7a7f63ba1a897ebc449,Citrobacter sp. CFNIH10,1920110,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH540,0.025
CP009852,77248,51.49130075,847add1c3dd93efdb452b6d98d702549,Enterobacter cloacae,550,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH540,0.025
CP009857,77575,50.71479214,f7750c1e1c9263674a5e7529aca94d0d,Enterobacter cloacae,550,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH540,0.025
CP020530,69663,51.93144137,428aa8a4c4513fef61f6371d327faec2,Enterobacter cloacae,550,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH528,0.025
CP029720,65672,52.30082836,cf57a132e50ccb82f23c5b1c735e54db,Enterobacter cloacae,550,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH528,0.025
JX101693,87731,52.78977784,18242d4b760eb24cbcf56b510ebf178a,Enterobacter cloacae,550,IncL/M,AF550415,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH532,0.025
